parent_asin,happier_group
B0053F86W6,100% verified are happier
B0053F89M8,100% verified are happier
B0053F8AM2,100% verified are happier
B0053F8B62,100% verified are happier
B0053F8CES,100% verified are happier
B0053F8CU2,100% verified are happier
B0053F8DIS,100% verified are happier
B0053F8LHQ,100% verified are happier
B0053F8M7U,Sentiment is neutral for both
B0053F8W2K,100% verified are happier
B0053F8WRA,100% verified are happier
B0053F91I4,100% verified are happier
B0053F92JC,100% verified are happier
B0053F9LCK,100% verified are happier
B0053F9NY6,100% verified are happier
B0053F9UJE,100% verified are happier
B0053F9V20,100% verified are happier
B0053G14TM,0% non-verified are happier
B0053JM1UK,100% verified are happier
B0053PGD6M,100% verified are happier
B0053Y27S6,100% verified are happier
B0053Y2CNG,100% verified are happier
B0053Y2I1W,100% verified are happier
B0053Y2I8U,100% verified are happier
B0053Y2KO2,100% verified are happier
B0053Y2NBM,100% verified are happier
B0053Y2P5G,100% verified are happier
B0053Y2R9U,100% verified are happier
B0053Y2SJY,100% verified are happier
B0053Y2SY4,100% verified are happier
B0053Y2UJ2,100% verified are happier
B0053Y2VV4,100% verified are happier
B0053Y2XYE,100% verified are happier
B0053Y31EK,100% verified are happier
B0053Y330C,100% verified are happier
B0053Y34GK,100% verified are happier
B0053Y34TW,100% verified are happier
B0053Y36O0,100% verified are happier
B0053Y37CG,100% verified are happier
B0053Y392E,0% non-verified are happier
B0053Y39SI,100% verified are happier
B0053Y3A4G,100% verified are happier
B0053Y3A8M,54% verified are happier
B0053Y3B22,100% verified are happier
B0053Y3B4U,100% verified are happier
B0053Y3BPO,100% verified are happier
B0053YL494,Sentiment is neutral for both
B005459K7A,100% verified are happier
B005459KTI,100% verified are happier
B005459SQI,100% verified are happier
B005459WBO,100% verified are happier
B005459Y6W,100% verified are happier
B00545A3H6,100% verified are happier
B00545A628,100% verified are happier
B00545A6LY,100% verified are happier
B00545A7T0,0% non-verified are happier
B00545AB8W,100% verified are happier
B00545AC8Q,100% verified are happier
B00545AFOC,100% verified are happier
B00545ANEY,100% verified are happier
B00545AQSW,100% verified are happier
B00545ASFS,100% verified are happier
B00545ATZW,100% verified are happier
B00545AU92,100% verified are happier
B00545AUUG,100% verified are happier
B00545AV9Q,100% verified are happier
B00545AZ0Q,100% verified are happier
B00545AZ9W,100% verified are happier
B00545AZCE,100% verified are happier
B00545AZRY,100% verified are happier
B00545B18Q,100% verified are happier
B00545B2UI,0% non-verified are happier
B00545B78A,100% verified are happier
B00547XC04,100% verified are happier
B0054GHM92,100% verified are happier
B0054IP90Y,100% verified are happier
B0054JEO9U,Sentiment is neutral for both
B0054L6WMU,Sentiment is neutral for both
B0054QM6UM,100% verified are happier
B0054RDAJ2,100% non-verified are happier
B0054RRGFQ,Sentiment is neutral for both
B0054TT64I,100% verified are happier
B0054Y1UDS,100% verified are happier
B00551817I,100% verified are happier
B00551V4OA,100% verified are happier
B00553TVOI,100% verified are happier
B00557SRPI,100% verified are happier
B005585Q42,100% verified are happier
B0055EPL6O,100% verified are happier
B0055FF3SE,100% verified are happier
B0055GZU2C,0% non-verified are happier
B0055MYJ0U,100% verified are happier
B0055OIXTG,100% verified are happier
B0055Q8ZRY,100% verified are happier
B0055U9FHY,100% verified are happier
B0055UBIII,100% verified are happier
B0055XFRY6,100% verified are happier
B00562X0VS,100% verified are happier
B00563KHD6,100% verified are happier
B00563S5YE,100% verified are happier
B005699OBQ,100% verified are happier
B0056DRA72,100% verified are happier
B0056HFP7K,Sentiment is neutral for both
B0056I99WG,100% verified are happier
B0056IYE6W,0% non-verified are happier
B0056IYZHK,0% verified are happier
B0056NS2JM,100% verified are happier
B0056PTIP2,Sentiment is neutral for both
B0056QT1XK,Sentiment is neutral for both
B0056QT2Z2,100% verified are happier
B0056XAWOU,0% non-verified are happier
B0056XFKQK,100% verified are happier
B00570QEZI,100% verified are happier
B005792KTS,100% verified are happier
B0057FXCOE,Sentiment is neutral for both
B0057GUIHW,100% verified are happier
B0057H33S2,100% verified are happier
B0057HX2VU,100% verified are happier
B0057J9QQI,Sentiment is neutral for both
B0057JD2HC,Sentiment is neutral for both
B0057JXD0S,100% verified are happier
B0057KV20U,100% verified are happier
B0057RL6DQ,100% verified are happier
B0057UBAAM,100% verified are happier
B0057UGW5A,0% non-verified are happier
B0057XBVA8,100% verified are happier
B0057XV4PK,Sentiment is neutral for both
B0057YBE18,0% non-verified are happier
B0057Z51C0,100% verified are happier
B00580OFMG,100% verified are happier
B00588VOUE,100% verified are happier
B0058A9NWI,100% verified are happier
B0058DD588,100% verified are happier
B0058E4G2Q,100% verified are happier
B0058ECYUC,100% verified are happier
B0058ED31G,0% non-verified are happier
B0058EDHQ2,100% verified are happier
B0058EDTI8,100% verified are happier
B0058G8E90,Sentiment is neutral for both
B0058I385I,100% verified are happier
B0058JWF7Y,100% verified are happier
B0058KDN6U,274% non-verified are happier
B0058KYR9C,0% non-verified are happier
B0058MJX4O,100% verified are happier
B0058MMYLI,100% verified are happier
B0058NEZ4Q,100% verified are happier
B0058OQGTW,Sentiment is neutral for both
B0058OY4QE,0% non-verified are happier
B0058RK2NA,100% verified are happier
B0058S1Z80,100% verified are happier
B0058UG9TI,0% verified are happier
B0058VGO24,100% verified are happier
B0058WE96Q,100% verified are happier
B0058YEISI,100% verified are happier
B00594ORIS,100% verified are happier
B00597EREY,100% verified are happier
B0059IIOJW,100% verified are happier
B0059YBAGK,100% verified are happier
B0059ZVQ22,100% non-verified are happier
B005A09I7Q,100% verified are happier
B005A09I8K,100% verified are happier
B005AGH7Z0,100% non-verified are happier
B005AGHACA,100% verified are happier
B005AIVWU4,100% non-verified are happier
B005AJNJ22,61% non-verified are happier
B005AL3RG8,100% verified are happier
B005AQ99D8,100% verified are happier
B005AQMIEU,100% verified are happier
B005AQPU5Y,100% verified are happier
B005AR6Q6K,100% verified are happier
B005AR6RNC,100% verified are happier
B005AR70O2,100% verified are happier
B005AR70YW,100% verified are happier
B005AR75A6,100% verified are happier
B005AR76M8,61% verified are happier
B005AR7IF8,100% verified are happier
B005AR7WZY,100% verified are happier
B005AR81OK,100% verified are happier
B005AR8KDM,Sentiment is neutral for both
B005AR8LKE,100% verified are happier
B005AR8PJ6,0% non-verified are happier
B005AR9K0E,100% verified are happier
B005ARAT7M,Sentiment is neutral for both
B005ARAWBK,100% verified are happier
B005ARBB1K,Sentiment is neutral for both
B005ARBBV0,100% verified are happier
B005ARBR7S,100% verified are happier
B005ARBW8C,100% verified are happier
B005ARC2XQ,100% verified are happier
B005ARC4KW,100% verified are happier
B005ARC7YK,100% verified are happier
B005ARCBGY,100% verified are happier
B005ARCKC4,100% verified are happier
B005ARNAYQ,100% verified are happier
B005ATIOTA,100% non-verified are happier
B005B3U6IC,Sentiment is neutral for both
B005B46NJ2,100% verified are happier
B005B46ZRM,100% verified are happier
B005B4871E,100% verified are happier
B005B489US,100% verified are happier
B005B48FPM,100% verified are happier
B005B48J44,100% verified are happier
B005B48JX0,100% verified are happier
B005B48LBU,100% verified are happier
B005B48M0U,0% non-verified are happier
B005B4D98A,100% verified are happier
B005B4DY4Y,0% non-verified are happier
B005B4FD84,100% verified are happier
B005B5E906,100% verified are happier
B005B5EPSW,0% non-verified are happier
B005B5RXL8,100% verified are happier
B005B5WS9A,100% verified are happier
B005B6GCN2,100% verified are happier
B005B9CHL0,100% verified are happier
B005B9CHQK,100% verified are happier
B005B9CI3C,100% verified are happier
B005B9CJDG,0% non-verified are happier
B005B9CLE8,100% verified are happier
B005B9CTFY,100% verified are happier
B005B9CTQS,0% non-verified are happier
B005B9CXAA,100% verified are happier
B005B9CXSM,100% verified are happier
B005B9DP4I,100% verified are happier
B005B9E95M,Sentiment is neutral for both
B005B9EABU,100% verified are happier
B005B9EG1Y,100% verified are happier
B005B9GGSK,100% verified are happier
B005BA2G8I,100% verified are happier
B005BA2O44,100% verified are happier
B005BA3O6Q,Sentiment is neutral for both
B005BA44VU,100% verified are happier
B005BA499W,100% verified are happier
B005BA4RNK,100% verified are happier
B005BEHR7E,100% verified are happier
B005BGO1SA,100% verified are happier
B005BI3UEO,100% verified are happier
B005BNLNKC,100% verified are happier
B005BNLODS,122% non-verified are happier
B005BNMAFO,100% verified are happier
B005BNMDDI,100% verified are happier
B005BNMVEY,Sentiment is neutral for both
B005BNMWCA,Sentiment is neutral for both
B005BNN1AC,100% verified are happier
B005BNN2EC,100% verified are happier
B005BNN3OQ,100% verified are happier
B005BQRIC6,100% verified are happier
B005BQRK1U,100% verified are happier
B005BQRQKA,100% verified are happier
B005BQRZIS,100% verified are happier
B005BQS65E,100% verified are happier
B005BSMN7O,100% verified are happier
B005BSOW32,0% verified are happier
B005BSOW82,100% verified are happier
B005BU5NIS,100% verified are happier
B005BW26QS,100% verified are happier
B005BZQHEC,95% verified are happier
B005C503VY,100% verified are happier
B005CCO976,100% verified are happier
B005CCO9MQ,100% verified are happier
B005CI9UJW,100% verified are happier
B005CJ580G,100% verified are happier
B005CKVN2C,100% non-verified are happier
B005CP07S8,100% verified are happier
B005CQ30A4,100% verified are happier
B005CQSN10,100% verified are happier
B005CR8DVE,100% verified are happier
B005CRF060,100% verified are happier
B005CRF0WE,100% verified are happier
B005CVZOPS,97% verified are happier
B005CWP0JW,100% verified are happier
B005CXF2BM,100% verified are happier
B005CXV51S,100% verified are happier
B005D19A02,100% verified are happier
B005D5NWHA,100% verified are happier
B005D7M684,100% verified are happier
B005D91TKI,100% verified are happier
B005D92CUE,Sentiment is neutral for both
B005D9AMY2,100% verified are happier
B005D9IR4Y,100% verified are happier
B005DATG1Q,100% verified are happier
B005DBEAM0,100% verified are happier
B005DBF0AG,100% verified are happier
B005DBW43C,Sentiment is neutral for both
B005DBX86O,0% non-verified are happier
B005DGIUYE,100% verified are happier
B005DHGKPY,100% verified are happier
B005DIAKWC,100% verified are happier
B005DIJQEA,100% verified are happier
B005DJIEFQ,68% verified are happier
B005DJJ860,100% verified are happier
B005DKJLDE,100% verified are happier
B005DLTHB4,100% verified are happier
B005DM7G84,100% verified are happier
B005DMG716,0% non-verified are happier
B005DMY66O,100% non-verified are happier
B005DMY6IM,100% verified are happier
B005DNSWCW,Sentiment is neutral for both
B005DSALSU,100% verified are happier
B005DSPPX6,100% verified are happier
B005DSSZHO,100% verified are happier
B005DTK79W,100% verified are happier
B005DTZOZO,100% verified are happier
B005E0L4EW,100% verified are happier
B005E0L9SI,100% verified are happier
B005E0LBFY,0% non-verified are happier
B005E0LPLY,100% verified are happier
B005E0LS66,100% verified are happier
B005E0M0Y0,100% verified are happier
B005E1DEWQ,100% non-verified are happier
B005E730WO,100% non-verified are happier
B005E7ANGK,100% verified are happier
B005EBPEFQ,100% verified are happier
B005ED0DRI,100% verified are happier
B005EDMCMC,100% verified are happier
B005EFSRJ2,100% verified are happier
B005EGZLG8,100% verified are happier
B005EHILV4,100% verified are happier
B005EHIMPO,100% non-verified are happier
B005EHIN12,100% verified are happier
B005EHINFI,100% verified are happier
B005EIGLWO,100% verified are happier
B005EIGNG8,100% verified are happier
B005ELUNE8,100% verified are happier
B005EM14MW,100% verified are happier
B005EOOWIS,100% verified are happier
B005ES7VSW,100% verified are happier
B005ES812W,100% verified are happier
B005ET4QMU,100% verified are happier
B005ETZCI2,100% verified are happier
B005ETZEO4,100% verified are happier
B005ETZF9S,100% verified are happier
B005ETZG38,100% verified are happier
B005ETZN72,100% verified are happier
B005EU6KYG,100% verified are happier
B005EUEK4S,100% verified are happier
B005EZ04X4,100% verified are happier
B005EZ7CMA,0% verified are happier
B005EZTQQ0,100% verified are happier
B005EZU2Z4,100% verified are happier
B005F0J4K2,100% verified are happier
B005F11WP6,100% verified are happier
B005F3H6MC,100% non-verified are happier
B005F3H6QI,100% verified are happier
B005F5FY7Y,100% verified are happier
B005F5LJZ0,100% verified are happier
B005F9CSFG,100% non-verified are happier
B005FAP51Y,100% verified are happier
B005FC0X1Y,100% verified are happier
B005FC8KBY,100% verified are happier
B005FCAJ2M,100% verified are happier
B005FD7ZG4,100% verified are happier
B005FFK5JQ,100% verified are happier
B005FFOL5U,100% verified are happier
B005FGR5K2,100% verified are happier
B005FHUT86,100% verified are happier
B005FIFM14,100% verified are happier
B005FLF97S,100% verified are happier
B005FLR2F0,Sentiment is neutral for both
B005FM42EI,100% non-verified are happier
B005FM5BWK,100% non-verified are happier
B005FM8O0G,0% verified are happier
B005FMUBLG,53% verified are happier
B005FMW434,100% verified are happier
B005FQO0G4,100% verified are happier
B005FQO0NW,100% verified are happier
B005FU4DTE,100% verified are happier
B005FUKBLS,0% non-verified are happier
B005FUWT2C,100% verified are happier
B005FUWTEU,100% verified are happier
B005FXLI30,100% verified are happier
B005G2PUWU,100% verified are happier
B005G39KSY,100% verified are happier
B005G47P0S,100% verified are happier
B005GBW8WG,100% verified are happier
B005GC7XUC,0% non-verified are happier
B005GF0IUG,100% verified are happier
B005GGTVVC,100% verified are happier
B005GHJCX8,100% verified are happier
B005GIGHMG,100% verified are happier
B005GKZB0S,100% verified are happier
B005GLDAAA,100% non-verified are happier
B005GM942C,100% verified are happier
B005GMXOJG,-160% non-verified are happier
B005GQICEE,Sentiment is neutral for both
B005GS3JWW,Sentiment is neutral for both
B005GSZ3A8,100% verified are happier
B005GTTJSO,100% non-verified are happier
B005GVAACG,100% verified are happier
B005GX4YK8,100% verified are happier
B005GX8BOI,100% verified are happier
B005H2007E,100% verified are happier
B005H2KL2S,Sentiment is neutral for both
B005H6OOTK,100% verified are happier
B005H7L550,100% verified are happier
B005H86LZ8,100% verified are happier
B005HBT3AU,100% verified are happier
B005HF61ZQ,100% verified are happier
B005HFB7L4,100% verified are happier
B005HFIJFQ,0% non-verified are happier
B005HFR060,100% verified are happier
B005HH2GCQ,100% verified are happier
B005HJBCLK,100% verified are happier
B005HJGEFY,69% verified are happier
B005HK6OP8,0% non-verified are happier
B005HMNSGO,100% verified are happier
B005HSG2QG,100% verified are happier
B005HUPMLK,100% verified are happier
B005HWQF4G,100% verified are happier
B005HXQ85G,100% verified are happier
B005I17ATA,100% verified are happier
B005IAEPBM,100% verified are happier
B005IAZWI2,100% verified are happier
B005ICHEL8,100% verified are happier
B005IHD95I,100% verified are happier
B005IHE8NK,100% verified are happier
B005IL1FGY,100% verified are happier
B005ILK9DY,100% verified are happier
B005ISPALI,100% verified are happier
B005ITTU2M,100% verified are happier
B005ITUA6C,100% verified are happier
B005IVUWDG,100% verified are happier
B005IYYF5E,100% verified are happier
B005IYZLWU,100% verified are happier
B005J2HTQC,77% verified are happier
B005J3EZZY,100% verified are happier
B005J5C5UE,0% non-verified are happier
B005J9FS0Y,100% verified are happier
B005JCGBWA,100% verified are happier
B005JEL510,100% verified are happier
B005JFBUFK,100% verified are happier
B005JHJUI2,100% verified are happier
B005JRZKIQ,0% non-verified are happier
B005JV8CZU,100% verified are happier
B005K04AQU,100% verified are happier
B005K1SGLO,Sentiment is neutral for both
B005K2RYA2,100% verified are happier
B005K93UN0,100% verified are happier
B005K9S01C,100% verified are happier
B005KDHKGY,100% verified are happier
B005KEKE2A,100% verified are happier
B005KH55D0,100% non-verified are happier
B005KM99ZU,0% non-verified are happier
B005KP5BT0,100% verified are happier
B005KQ1E86,0% non-verified are happier
B005KQ1G02,Sentiment is neutral for both
B005KR15HU,100% verified are happier
B005KS4UF8,100% verified are happier
B005KYLAT6,100% non-verified are happier
B005L0WZN4,100% verified are happier
B005L3GWGW,0% non-verified are happier
B005L3SEN6,100% non-verified are happier
B005L6KJGS,100% verified are happier
B005L8YRXC,100% verified are happier
B005LBDUBO,100% verified are happier
B005LDVQ04,100% verified are happier
B005LFNUF6,0% verified are happier
B005LHNMAW,100% verified are happier
B005LMTM0Q,100% non-verified are happier
B005LOJEZC,100% verified are happier
B005LP7NCW,100% verified are happier
B005LQCYGG,100% verified are happier
B005LR0ETO,100% verified are happier
B005LRFW4G,100% verified are happier
B005LTR9ZY,100% verified are happier
B005LTRB9I,100% verified are happier
B005LVRZVU,100% non-verified are happier
B005LZQTKE,100% verified are happier
B005M0CK9M,100% verified are happier
B005M0KLGQ,100% verified are happier
B005M0MUQK,100% verified are happier
B005M2F07E,100% non-verified are happier
B005M2OROG,Sentiment is neutral for both
B005M36EAU,100% verified are happier
B005M393OO,100% verified are happier
B005M69N8M,Sentiment is neutral for both
B005MG812Q,100% verified are happier
B005MHBP5K,Sentiment is neutral for both
B005MIIZ3E,100% verified are happier
B005MKPI9G,100% verified are happier
B005MKPSM8,100% non-verified are happier
B005MLBAQK,100% verified are happier
B005MMZZZQ,100% verified are happier
B005MR6JLA,100% verified are happier
B005MSH0GM,100% verified are happier
B005MTDPBK,100% non-verified are happier
B005N0AML4,100% verified are happier
B005N0Q2CW,100% verified are happier
B005N1LAEG,100% verified are happier
B005N1VD8O,100% verified are happier
B005N27OYU,100% verified are happier
B005N2RGJ8,100% verified are happier
B005N4N2BM,100% verified are happier
B005N4N2GC,100% verified are happier
B005N52D4I,100% non-verified are happier
B005N559FI,100% verified are happier
B005N8T35M,0% non-verified are happier
B005N9BXRW,100% verified are happier
B005NACC6M,70% verified are happier
B005NATX28,100% verified are happier
B005NBPPFG,100% verified are happier
B005NC9PP6,100% verified are happier
B005NF71ZE,100% verified are happier
B005NFG37Q,Sentiment is neutral for both
B005NG7IY2,100% verified are happier
B005NISGSC,100% verified are happier
B005NIT0DC,100% verified are happier
B005NIVTQS,100% verified are happier
B005NK21MM,100% verified are happier
B005NL50TW,100% verified are happier
B005NORBIW,100% verified are happier
B005NP0HKU,100% verified are happier
B005NU85MM,Sentiment is neutral for both
B005NZ05J8,100% verified are happier
B005O0D17K,100% verified are happier
B005O71CU6,100% verified are happier
B005O93P9K,100% verified are happier
B005O9A7I2,100% verified are happier
B005OEBWHC,100% verified are happier
B005OEBXM6,100% verified are happier
B005OFBJYM,100% verified are happier
B005OJBI9Y,100% verified are happier
B005OL3AVG,100% verified are happier
B005OLT538,100% verified are happier
B005ONIO1A,100% verified are happier
B005OOZAZ2,100% verified are happier
B005OOZB1A,0% non-verified are happier
B005OPJ6FG,100% verified are happier
B005OQ77ZQ,100% verified are happier
B005OSAI78,100% verified are happier
B005OU12KI,100% verified are happier
B005OYO382,100% verified are happier
B005OZE9SA,87% verified are happier
B005OZKHHC,Sentiment is neutral for both
B005P0FQSQ,100% verified are happier
B005P0QY1O,100% verified are happier
B005P0UTII,100% verified are happier
B005P1L15W,100% verified are happier
B005P338TW,100% verified are happier
B005P4WXYC,100% verified are happier
B005P4X51M,100% verified are happier
B005PF85L6,0% non-verified are happier
B005PGGU9O,262% non-verified are happier
B005PK8LV0,100% verified are happier
B005PR0QNE,100% verified are happier
B005PS4XQY,Sentiment is neutral for both
B005PW4554,100% verified are happier
B005PY3OU4,100% verified are happier
B005Q42Q8Y,100% verified are happier
B005Q9Z5XW,100% verified are happier
B005QA6AOE,100% verified are happier
B005QIZIYO,0% non-verified are happier
B005QKNUOW,100% verified are happier
B005QTELM8,100% verified are happier
B005R597HA,100% verified are happier
B005R82T5E,100% verified are happier
B005RA3TRO,100% verified are happier
B005RF9DUG,100% verified are happier
B005RGL5VK,100% verified are happier
B005RHEAX4,100% verified are happier
B005RVMIA2,100% verified are happier
B005RXH2PG,100% verified are happier
B005SE0XPU,100% verified are happier
B005SGCIF6,100% verified are happier
B005SGF90M,100% non-verified are happier
B005SGFAII,100% verified are happier
B005SHSRI2,100% verified are happier
B005SI0OOG,100% verified are happier
B005SN730E,100% verified are happier
B005SN73LI,100% verified are happier
B005SNMAWK,100% verified are happier
B005SRMRX8,100% verified are happier
B005SUS2C0,100% verified are happier
B005SUS2YS,100% verified are happier
B005SUSWWU,100% non-verified are happier
B005SUSXGA,100% verified are happier
B005SUT0BC,100% verified are happier
B005SUT7DS,100% verified are happier
B005SUT9I6,100% verified are happier
B005SUU3U4,100% verified are happier
B005SUVHU4,100% verified are happier
B005SUVZC4,0% non-verified are happier
B005SUX1BC,100% verified are happier
B005SUXN0Q,100% non-verified are happier
B005SUXNYM,63% verified are happier
B005SUY3GY,100% verified are happier
B005SUYA0S,100% verified are happier
B005SVLM8K,100% verified are happier
B005SYDEMY,Sentiment is neutral for both
B005T0L69U,100% verified are happier
B005T0L6HW,Sentiment is neutral for both
B005T5JW2S,100% verified are happier
B005T800V2,0% non-verified are happier
B005T80SGE,Sentiment is neutral for both
B005TCS6ZU,100% verified are happier
B005TFB6BS,Sentiment is neutral for both
B005TLZPTG,100% verified are happier
B005TM2NKY,100% verified are happier
B005TNBQMO,100% non-verified are happier
B005TP0PHO,100% verified are happier
B005TSLAHU,100% verified are happier
B005TWHG38,100% non-verified are happier
B005U5KU46,0% non-verified are happier
B005U5KWHQ,Sentiment is neutral for both
B005UDTIUA,100% verified are happier
B005UDTIVY,100% verified are happier
B005UG9U46,100% non-verified are happier
B005UGKLRQ,100% verified are happier
B005UJQ2TY,100% verified are happier
B005UQPPK4,100% verified are happier
B005UQWT6W,100% verified are happier
B005V20ZS4,100% verified are happier
B005V2EXS2,100% verified are happier
B005V2J8BO,100% verified are happier
B005V2PWDW,100% verified are happier
B005V3AUK6,100% verified are happier
B005V3AV5U,100% verified are happier
B005VK99ME,100% verified are happier
B005VNW3UQ,100% verified are happier
B005VP1T1I,Sentiment is neutral for both
B005VR8XQK,100% verified are happier
B005VSEEZS,100% verified are happier
B005WFTVH6,Sentiment is neutral for both
B005WIIQ42,100% verified are happier
B005WXPHJE,0% non-verified are happier
B005X4SLLS,100% verified are happier
B005X5SHJS,100% verified are happier
B005X74DFS,100% verified are happier
B005X9WSLW,100% verified are happier
B005XLFQDC,100% verified are happier
B005XSZS92,87% verified are happier
B005Y04ZZC,100% verified are happier
B005Y2RWN2,0% non-verified are happier
B005YCJ9GK,100% verified are happier
B005YG6JZK,100% verified are happier
B005Z1OUL4,0% non-verified are happier
B005Z1PTWI,100% verified are happier
B005Z1ZLTE,100% verified are happier
B005Z48Y0Y,100% verified are happier
B005ZFEOTS,100% verified are happier
B005ZFIU8E,100% verified are happier
B005ZFIWAA,100% verified are happier
B005ZMB9BM,100% verified are happier
B005ZPZL3Q,0% non-verified are happier
B005ZRC9NE,0% non-verified are happier
B005ZSFLJW,100% verified are happier
B005ZV5K0O,100% verified are happier
B005ZVPM5W,100% verified are happier
B005ZWDTDI,100% verified are happier
B005ZWSNNO,100% verified are happier
B005ZXUWS2,100% verified are happier
B005ZYVXRA,100% verified are happier
B00601PX3M,100% verified are happier
B006054VH2,100% verified are happier
B0060FDA9C,100% verified are happier
B0060GSO06,100% verified are happier
B0060LI8S4,100% verified are happier
B0060RUVBA,100% verified are happier
B0060T4TOI,100% verified are happier
B0060TG32E,100% verified are happier
B0060ZB43G,100% verified are happier
B0061FSZZ0,72% verified are happier
B0061H4I4A,100% verified are happier
B0061IRSV4,100% verified are happier
B0061OPQK8,100% verified are happier
B0061QFS7M,100% verified are happier
B0061RNE0E,100% verified are happier
B0061SI4ZS,0% non-verified are happier
B0061U5XS2,100% verified are happier
B0061YYAAU,100% non-verified are happier
B0061ZUKWG,100% verified are happier
B00622H60M,100% verified are happier
B00622ILCO,82% verified are happier
B0062A70FU,100% verified are happier
B0062CNT12,0% non-verified are happier
B0062NUUW2,100% verified are happier
B0062NWY6C,Sentiment is neutral for both
B0062P7MKS,100% non-verified are happier
B0062QF15A,100% verified are happier
B00634T6GG,100% verified are happier
B006368FHA,100% verified are happier
B0063AAINK,100% non-verified are happier
B0063C1I4Q,0% non-verified are happier
B0063GJINU,100% verified are happier
B0063HBPXU,100% non-verified are happier
B0063K9LV0,100% verified are happier
B0063LUB3Q,100% verified are happier
B00646MZHK,93% verified are happier
B0064B0BFI,100% non-verified are happier
B0064B0BLW,93% verified are happier
B0064BCRQE,100% verified are happier
B0064CFJ0O,100% verified are happier
B0064CG2MS,100% verified are happier
B0064CKGLQ,100% verified are happier
B0064EGIE8,100% verified are happier
B0064FLB7Q,100% verified are happier
B0064GW0E8,100% verified are happier
B0064IS4P0,100% verified are happier
B0064J4CFU,100% verified are happier
B0064MLIC2,0% non-verified are happier
B0064QT9MO,100% verified are happier
B0064RE3CO,Sentiment is neutral for both
B0064RJ2DO,100% verified are happier
B0064RNLGS,100% verified are happier
B0064RRBZ0,100% verified are happier
B0064RRHA4,100% verified are happier
B0064RTS0G,100% verified are happier
B0064RWEZC,Sentiment is neutral for both
B0064RWFM4,100% non-verified are happier
B0064RYUY0,100% verified are happier
B0064S0AN4,100% verified are happier
B0064S1SAI,100% verified are happier
B0064WF6CA,100% verified are happier
B00653XX46,100% verified are happier
B00656Z4IG,54% non-verified are happier
B0065CBYQG,100% non-verified are happier
B0065GF5VW,100% verified are happier
B0065J0L7C,100% verified are happier
B0065LKLOI,100% verified are happier
B0065LTW52,100% non-verified are happier
B0066EL9R2,100% verified are happier
B0066KQ2KU,100% verified are happier
B0066QZ9BC,100% verified are happier
B0066SCSTG,Sentiment is neutral for both
B0067BAIM6,93% verified are happier
B0067HH850,100% verified are happier
B0067HRP12,0% non-verified are happier
B0067I10NK,100% non-verified are happier
B0067L2L5I,100% verified are happier
B0067L3QHU,Sentiment is neutral for both
B0067M0H9O,100% verified are happier
B0067M5ECE,100% verified are happier
B0067O4VZS,100% verified are happier
B0067S8IZ8,100% verified are happier
B00684JZ0S,0% non-verified are happier
B0068P89F4,100% verified are happier
B0068R94KQ,Sentiment is neutral for both
B0068S0P5I,100% verified are happier
B0068WU0K4,100% verified are happier
B006929ZF4,100% verified are happier
B00692OA2M,100% verified are happier
B00694T7SW,100% verified are happier
B0069608GU,59% non-verified are happier
B0069HZFK8,100% verified are happier
B0069R0U3U,100% verified are happier
B0069SFL2O,100% verified are happier
B0069T0UOM,100% verified are happier
B0069T4GFG,0% non-verified are happier
B006AAS880,100% verified are happier
B006ATHGWU,100% verified are happier
B006B5M2ZY,99% verified are happier
B006B7QRQC,0% non-verified are happier
B006BBF9VC,100% verified are happier
B006BF0N6O,0% non-verified are happier
B006BJWTYE,100% verified are happier
B006BKBGSI,Sentiment is neutral for both
B006BL9AIK,100% verified are happier
B006BST39E,100% verified are happier
B006C1BPPA,0% non-verified are happier
B006C1GI34,100% verified are happier
B006CL55TC,100% verified are happier
B006COCL6E,0% non-verified are happier
B006DFJ4HQ,100% non-verified are happier
B006E6SEWA,0% non-verified are happier
B006E7VTSK,Sentiment is neutral for both
B006E7X19A,100% verified are happier
B006E7XLOA,100% verified are happier
B006E7Y036,Sentiment is neutral for both
B006EKPZLY,100% verified are happier
B006ELS6MI,100% verified are happier
B006EPH5CQ,100% verified are happier
B006FCIGWQ,100% verified are happier
B006FHMTBK,100% verified are happier
B006FHMTJW,100% verified are happier
B006FRZEFS,100% verified are happier
B006FV62YG,100% verified are happier
B006G0MHH2,100% non-verified are happier
B006G2DPI0,100% verified are happier
B006G9Z6AI,100% verified are happier
B006GCTT4Y,100% verified are happier
B006GDEBB4,Sentiment is neutral for both
B006GDQL44,100% verified are happier
B006GIZL86,100% verified are happier
B006GLRP3W,100% verified are happier
B006GQ6HFO,0% non-verified are happier
B006GQOGGG,100% verified are happier
B006GSJB1E,100% non-verified are happier
B006GTGP3K,Sentiment is neutral for both
B006GX0TWE,100% verified are happier
B006GXZHBW,100% verified are happier
B006H112I0,100% verified are happier
B006H2OR2M,100% verified are happier
B006H6D4B8,100% verified are happier
B006H7HB7K,100% verified are happier
B006HNRXV8,100% verified are happier
B006I387T4,100% verified are happier
B006I387ZS,100% verified are happier
B006I389EW,Sentiment is neutral for both
B006I6FXUM,100% verified are happier
B006IA86RK,100% verified are happier
B006IIRJJI,Sentiment is neutral for both
B006ISINPM,100% non-verified are happier
B006IU53TO,100% verified are happier
B006JALQW6,100% verified are happier
B006JCF0E4,100% verified are happier
B006JG6G52,100% verified are happier
B006JRI47E,100% verified are happier
